timestamp,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],routing,latency_ms
1772199907.9501166,298.1,308.6,1551,42.8,0,cloud_offload,75
1772199908.088537,298.2,308.6,1433,39.5,7,cloud_offload,166
1772199908.1209276,298.1,308.6,1558,42.4,14,cloud_offload,134
1772199908.1425612,298.3,308.7,1667,28.6,18,cloud_offload,184
1772199908.18604,298.6,309.1,1339,51.1,34,cloud_offload,145
1772199908.271877,298.9,309.3,1375,42.7,58,cloud_offload,137
1772199908.2931945,298.9,309.3,1581,30.7,65,cloud_offload,99
1772199908.3040314,299.0,309.4,1758,25.7,68,cloud_offload,183
1772199908.3687596,299.0,309.4,1693,30.1,84,cloud_offload,101
1772199908.4015067,299.0,309.4,1419,48.3,91,cloud_offload,70
1772199908.4228382,298.8,309.1,1559,34.7,95,cloud_offload,154
1772199908.4335616,298.8,309.2,1452,48.6,98,cloud_offload,127
1772199908.4445968,298.9,309.2,1581,36.7,101,cloud_offload,93
1772199908.4553337,298.8,309.1,1439,39.2,104,cloud_offload,128
1772199908.4660015,298.9,309.2,1379,50.7,106,cloud_offload,195
1772199908.4769974,298.8,309.1,1350,52.5,111,cloud_offload,162
1772199908.5525148,298.7,309.0,1843,25.8,130,cloud_offload,137
1772199908.573944,298.8,309.2,1425,53.9,135,cloud_offload,54
1772199908.5846856,298.9,309.2,1412,44.1,140,cloud_offload,119
1772199908.595464,298.9,309.1,2861,4.6,143,cloud_offload,57
1772199908.6060398,298.9,309.1,1383,54.9,145,cloud_offload,142
1772199908.616854,298.8,309.0,1497,43.8,147,cloud_offload,178
1772199908.6704125,298.8,309.1,1513,40.3,160,cloud_offload,105
1772199908.6920345,298.8,309.1,1378,54.4,165,cloud_offload,98
1772199908.713561,298.8,309.0,1592,38.2,169,cloud_offload,181
1772199908.7784345,298.8,308.9,1466,44.1,184,cloud_offload,195
1772199908.7997737,298.9,309.0,1410,65.7,191,cloud_offload,199
1772199908.8102298,298.9,309.0,1924,22.6,193,cloud_offload,120
1772199908.8210363,298.9,309.1,1452,45.5,196,cloud_offload,182
1772199908.8423505,299.0,309.1,1592,35.0,200,cloud_offload,138
1772199908.8855238,298.8,308.9,1455,41.3,208,cloud_offload,165
1772199908.9178677,298.8,308.8,1445,49.9,4,cloud_offload,160
1772199908.9395013,298.9,308.9,1453,40.8,11,cloud_offload,69
1772199908.9613934,298.9,308.9,1422,47.6,15,cloud_offload,97
1772199909.0151658,298.9,308.9,1487,39.5,30,cloud_offload,97
1772199909.0367513,298.9,308.9,1830,24.9,35,cloud_offload,136
1772199909.0581918,299.1,309.0,1450,43.0,40,cloud_offload,114
1772199909.0798318,299.0,309.0,1351,52.2,44,cloud_offload,84
1772199909.0908043,299.0,309.0,1575,35.3,47,cloud_offload,120
1772199909.10185,298.9,308.9,1750,29.9,50,cloud_offload,143
1772199909.2100544,298.8,308.8,1497,46.8,72,cloud_offload,99
1772199909.2857068,298.8,308.6,1680,29.4,95,cloud_offload,73
1772199909.3179584,298.8,308.6,1599,33.0,101,cloud_offload,102
1772199909.3395252,298.7,308.5,1467,40.7,106,cloud_offload,180
1772199909.3500793,298.9,308.7,1433,44.7,108,cloud_offload,87
1772199909.4033477,298.9,308.6,1560,32.2,118,cloud_offload,109
1772199909.4462798,298.9,308.5,1559,34.3,126,cloud_offload,189
1772199909.4569807,298.8,308.4,1473,41.1,128,cloud_offload,149
1772199909.4680269,298.8,308.4,1737,27.7,130,cloud_offload,148
1772199909.5539832,298.8,308.6,1268,55.8,155,cloud_offload,199
1772199909.5650072,298.8,308.6,1511,36.1,157,cloud_offload,114
1772199909.5760424,298.7,308.5,1544,35.2,159,cloud_offload,69
1772199909.6513546,298.3,308.3,1379,48.0,181,cloud_offload,175
1772199909.6621766,298.4,308.3,1473,39.9,184,cloud_offload,67
1772199909.6948726,298.4,308.2,1584,41.0,191,cloud_offload,117
1772199909.7273529,298.4,308.2,1987,19.8,198,cloud_offload,92
1772199909.87831,298.4,308.3,1318,59.1,22,cloud_offload,65
1772199909.8993914,298.2,308.1,1462,50.8,27,cloud_offload,146
1772199909.9421031,298.2,308.1,1382,43.5,37,cloud_offload,183
1772199909.952966,298.2,308.1,1618,34.7,39,cloud_offload,186
1772199909.963528,298.2,308.2,1988,21.4,41,cloud_offload,159
1772199909.9744334,298.2,308.2,1436,50.2,43,cloud_offload,127
1772199910.0064056,298.2,308.3,1824,24.2,49,cloud_offload,93
1772199910.0276084,298.1,308.2,1485,40.7,57,cloud_offload,90
1772199910.0384858,298.2,308.2,1667,30.6,59,cloud_offload,144
1772199910.049065,298.2,308.2,1446,38.2,61,cloud_offload,70
1772199910.0599365,298.1,308.3,1301,56.0,63,cloud_offload,186
1772199910.0709004,298.2,308.4,1379,43.1,65,cloud_offload,144
1772199910.1351817,298.2,308.4,1678,34.6,81,cloud_offload,107
1772199910.1568615,298.3,308.5,1453,42.9,89,cloud_offload,166
1772199910.210843,298.4,308.6,1609,35.0,103,cloud_offload,62
1772199910.2218184,298.3,308.5,1575,41.2,105,cloud_offload,152
1772199973.9183075,298.1,308.5,1498,49.4,5,cloud_offload,133
1772199973.940562,298.2,308.7,1408,40.0,9,cloud_offload,117
1772199973.9731548,298.1,308.6,1527,40.2,16,cloud_offload,161
1772199974.026563,298.6,309.1,1339,51.1,34,cloud_offload,64
1772199974.0484853,298.6,309.2,2035,19.6,40,cloud_offload,144
1772199974.0590742,298.6,309.2,1542,48.4,42,cloud_offload,197
1772199974.0806396,298.7,309.2,1410,45.6,47,cloud_offload,177
1772199974.091369,298.8,309.2,1306,54.5,50,cloud_offload,50
1772199974.1455028,299.0,309.4,1758,25.7,68,cloud_offload,143
1772199974.1563344,299.0,309.4,1561,37.3,70,cloud_offload,54
1772199974.2423184,299.0,309.4,1419,48.3,91,cloud_offload,62
1772199974.2963562,298.8,309.1,1439,39.2,104,cloud_offload,74
1772199974.3288481,298.8,309.1,1362,45.4,113,cloud_offload,133
1772199974.3502877,298.8,309.1,1368,49.1,117,cloud_offload,121
1772199974.4902017,298.8,309.1,1512,40.7,156,cloud_offload,145
1772199974.5114694,298.8,309.1,1513,40.3,160,cloud_offload,92
1772199974.522299,298.8,309.0,1661,29.5,162,cloud_offload,114
1772199974.5332203,298.8,309.1,1378,54.4,165,cloud_offload,98
1772199974.5755117,298.9,309.0,1812,25.9,174,cloud_offload,105
1772199974.5860617,299.0,309.1,1523,38.6,177,cloud_offload,151
1772199974.6290746,298.8,308.9,1527,32.4,189,cloud_offload,155
1772199974.6398947,298.9,309.0,1410,65.7,191,cloud_offload,146
1772199974.6613824,298.9,309.1,1452,45.5,196,cloud_offload,90
1772199974.6718795,298.9,309.1,1369,44.4,198,cloud_offload,150
1772199974.704066,298.8,308.9,1379,46.7,204,cloud_offload,151
1772199974.7682376,298.9,308.9,1450,47.5,9,cloud_offload,67
1772199974.8114843,299.0,309.0,1804,26.8,17,cloud_offload,199
1772199974.9187171,299.0,309.0,1351,52.2,44,cloud_offload,141
1772199975.0170004,298.8,308.7,1450,43.4,66,cloud_offload,59
1772199975.0933943,298.7,308.6,1499,43.5,84,cloud_offload,164
1772199975.126173,298.8,308.6,1680,29.4,95,cloud_offload,107
